#multi:
;mass A;mass B;
t;x;x;
0.000000E0;-2.217075E-2;2.251536E-2
3.333333E-2;-2.216895E-2;2.251451E-2
6.666667E-2;-2.216923E-2;2.251391E-2
1.000000E-1;-2.216934E-2;2.251745E-2
1.333333E-1;-2.216824E-2;2.251760E-2
1.666667E-1;-2.217102E-2;2.252163E-2
2.000000E-1;-2.217315E-2;2.252335E-2
2.333333E-1;-2.218740E-2;2.252688E-2
2.666667E-1;-2.217133E-2;2.252815E-2
3.000000E-1;-2.216464E-2;2.252728E-2
3.333333E-1;-2.216425E-2;2.252646E-2
3.666667E-1;-2.216143E-2;2.252474E-2
4.000000E-1;-2.215870E-2;2.252656E-2
4.333333E-1;-2.215946E-2;2.252916E-2
4.666667E-1;-2.216190E-2;2.253488E-2
5.000000E-1;-2.216476E-2;2.253395E-2
5.333333E-1;-2.215647E-2;2.253273E-2
5.666667E-1;-2.215844E-2;2.252792E-2
6.000000E-1;-2.212826E-2;2.249920E-2
6.333333E-1;-2.211290E-2;2.241121E-2
6.666667E-1;-2.202261E-2;2.234240E-2
7.000000E-1;-2.189468E-2;2.228838E-2
7.333333E-1;-2.179021E-2;2.215397E-2
7.666667E-1;-2.158475E-2;2.199676E-2
8.000000E-1;-2.142670E-2;2.181122E-2
8.333333E-1;-2.122061E-2;2.163007E-2
8.666667E-1;-2.099045E-2;2.141023E-2
9.000000E-1;-2.076986E-2;2.119301E-2
9.333333E-1;-2.051256E-2;2.093930E-2
9.666667E-1;-2.025629E-2;2.069527E-2
1.000000E0;-1.997752E-2;2.042097E-2
1.033333E0;-1.972884E-2;2.016417E-2
1.066667E0;-1.944380E-2;1.987988E-2
1.100000E0;-1.916217E-2;1.961673E-2
1.133333E0;-1.889049E-2;1.934888E-2
1.166667E0;-1.861030E-2;1.909540E-2
1.200000E0;-1.833639E-2;1.882841E-2
1.233333E0;-1.806406E-2;1.858917E-2
1.266667E0;-1.782659E-2;1.834749E-2
1.300000E0;-1.759989E-2;1.812471E-2
1.333333E0;-1.739726E-2;1.791819E-2
1.366667E0;-1.718443E-2;1.772565E-2
1.400000E0;-1.703421E-2;1.756063E-2
1.433333E0;-1.688015E-2;1.740597E-2
1.466667E0;-1.673176E-2;1.729817E-2
1.500000E0;-1.663148E-2;1.720076E-2
1.533333E0;-1.655339E-2;1.712930E-2
1.566667E0;-1.650419E-2;1.707502E-2
1.600000E0;-1.648128E-2;1.704773E-2
1.633333E0;-1.648771E-2;1.706231E-2
1.666667E0;-1.651940E-2;1.709867E-2
1.700000E0;-1.656356E-2;1.717280E-2
1.733333E0;-1.664759E-2;1.727905E-2
1.766667E0;-1.675767E-2;1.738903E-2
1.800000E0;-1.689596E-2;1.751648E-2
1.833333E0;-1.707590E-2;1.768606E-2
1.866667E0;-1.724856E-2;1.785985E-2
1.900000E0;-1.746419E-2;1.806908E-2
1.933333E0;-1.768635E-2;1.826884E-2
1.966667E0;-1.790407E-2;1.849845E-2
2.000000E0;-1.815036E-2;1.873171E-2
2.033333E0;-1.839475E-2;1.898198E-2
2.066667E0;-1.866430E-2;1.923842E-2
2.100000E0;-1.892579E-2;1.951364E-2
2.133333E0;-1.922568E-2;1.977477E-2
2.166667E0;-1.948865E-2;2.004274E-2
2.200000E0;-1.976974E-2;2.031252E-2
2.233333E0;-2.003474E-2;2.056071E-2
2.266667E0;-2.030534E-2;2.082041E-2
2.300000E0;-2.054992E-2;2.105011E-2
2.333333E0;-2.079384E-2;2.128143E-2
2.366667E0;-2.101518E-2;2.148220E-2
2.400000E0;-2.121122E-2;2.168051E-2
2.433333E0;-2.139364E-2;2.186949E-2
