#multi:
	mass A		mass B		
t	x	vx	x	vx	
0.000	-0.228		0.228	
0.017	-0.228	-1.388E-3	0.228	-1.948E-3
0.033	-0.228	2.895E-3	0.228	-1.270E-4
0.050	-0.228	-3.369E-3	0.228	-3.346E-3
0.067	-0.228	-1.941E-3	0.228	-1.183E-2
0.083	-0.228	-6.058E-4	0.227	-1.899E-2
0.100	-0.228	2.440E-3	0.227	-2.513E-2
0.117	-0.228	2.723E-3	0.227	-3.102E-2
0.133	-0.228	7.693E-3	0.226	-4.011E-2
0.150	-0.228	8.029E-3	0.225	-4.688E-2
0.167	-0.228	9.063E-3	0.224	-5.144E-2
0.183	-0.228	1.331E-2	0.224	-5.844E-2
0.200	-0.227	1.400E-2	0.222	-6.281E-2
0.217	-0.227	2.047E-2	0.221	-7.217E-2
0.233	-0.227	1.783E-2	0.220	-7.864E-2
0.250	-0.227	2.436E-2	0.219	-8.142E-2
0.267	-0.226	3.013E-2	0.217	-9.591E-2
0.283	-0.226	2.708E-2	0.216	-0.101
0.300	-0.225	2.623E-2	0.214	-0.101
0.317	-0.225	2.754E-2	0.212	-0.107
0.333	-0.224	3.564E-2	0.210	-0.110
0.350	-0.224	3.610E-2	0.209	-0.118
0.367	-0.223	3.443E-2	0.207	-0.121
0.383	-0.222	3.486E-2	0.205	-0.126
0.400	-0.222	4.230E-2	0.202	-0.127
0.417	-0.221	4.199E-2	0.200	-0.132
0.433	-0.220	3.630E-2	0.198	-0.142
0.450	-0.220	3.486E-2	0.196	-0.144
0.467	-0.219	3.708E-2	0.193	-0.146
0.483	-0.219	3.892E-2	0.191	-0.147
0.500	-0.218	3.295E-2	0.188	-0.148
0.517	-0.217	4.001E-2	0.186	-0.144
0.533	-0.217	4.678E-2	0.183	-0.150
0.550	-0.216	4.087E-2	0.181	-0.154
0.567	-0.215	4.016E-2	0.178	-0.153
0.583	-0.215	4.192E-2	0.176	-0.153
0.600	-0.214	3.532E-2	0.173	-0.152
0.617	-0.213	3.092E-2	0.171	-0.154
0.633	-0.213	3.806E-2	0.168	-0.151
0.650	-0.212	3.699E-2	0.166	-0.149
0.667	-0.212	3.117E-2	0.163	-0.153
0.683	-0.211	2.920E-2	0.160	-0.153
0.700	-0.211	3.262E-2	0.158	-0.143
0.717	-0.210	3.209E-2	0.156	-0.142
0.733	-0.210	2.643E-2	0.153	-0.143
0.750	-0.209	2.846E-2	0.151	-0.135
0.767	-0.209	3.026E-2	0.149	-0.134
0.783	-0.208	2.353E-2	0.146	-0.135
0.800	-0.208	1.882E-2	0.144	-0.137
0.817	-0.207	1.878E-2	0.142	-0.129
0.833	-0.207	1.178E-2	0.140	-0.119
0.850	-0.207	1.070E-2	0.138	-0.115
0.867	-0.207	1.253E-2	0.136	-0.114
0.883	-0.207	1.184E-2	0.134	-0.110
0.900	-0.206	6.469E-3	0.132	-0.102
0.917	-0.206	-5.338E-3	0.131	-0.103
0.933	-0.207	-6.875E-3	0.129	-9.759E-2
0.950	-0.207	-1.190E-4	0.127	-8.839E-2
0.967	-0.207	-5.923E-3	0.126	-8.579E-2
0.983	-0.207	-1.406E-2	0.125	-7.770E-2
1.000	-0.207	-1.366E-2	0.123	-6.763E-2
1.017	-0.207	-1.303E-2	0.122	-6.609E-2
1.033	-0.208	-1.939E-2	0.121	-6.023E-2
1.050	-0.208	-2.257E-2	0.120	-4.853E-2
1.067	-0.208	-2.529E-2	0.120	-4.539E-2
1.083	-0.209	-3.044E-2	0.119	-3.861E-2
1.100	-0.209	-2.992E-2	0.118	-2.733E-2
1.117	-0.210	-3.317E-2	0.118	-2.068E-2
1.133	-0.210	-3.425E-2	0.118	-1.464E-2
1.150	-0.211	-3.683E-2	0.117	-7.961E-3
1.167	-0.212	-4.114E-2	0.117	-1.162E-3
1.183	-0.212	-4.300E-2	0.117	1.897E-3
1.200	-0.213	-4.916E-2	0.117	1.019E-2
1.217	-0.214	-5.251E-2	0.118	1.780E-2
1.233	-0.215	-5.225E-2	0.118	2.439E-2
1.250	-0.216	-5.214E-2	0.119	3.002E-2
1.267	-0.217	-5.479E-2	0.119	4.032E-2
1.283	-0.218	-5.900E-2	0.120	4.548E-2
1.300	-0.219	-6.109E-2	0.121	4.659E-2
1.317	-0.220	-6.154E-2	0.121	5.584E-2
1.333	-0.221	-6.340E-2	0.122	5.919E-2
1.350	-0.222	-6.397E-2	0.123	6.425E-2
1.367	-0.223	-6.371E-2	0.125	7.148E-2
1.383	-0.224	-6.675E-2	0.126	7.970E-2
1.400	-0.225	-7.004E-2	0.127	8.321E-2
1.417	-0.226	-7.163E-2	0.129	8.605E-2
