#multi:
	mass A		mass B		
t	x	vx	x	vx	
0.000	-0.238		0.229	
0.017	-0.238	2.453E-2	0.229	6.013E-4
0.033	-0.237	2.454E-2	0.229	-7.177E-3
0.050	-0.237	2.945E-2	0.229	-1.242E-2
0.067	-0.236	3.695E-2	0.229	-1.814E-2
0.083	-0.236	4.364E-2	0.228	-2.209E-2
0.100	-0.235	4.811E-2	0.228	-2.492E-2
0.117	-0.234	4.926E-2	0.227	-3.123E-2
0.133	-0.233	5.725E-2	0.227	-3.447E-2
0.150	-0.232	6.447E-2	0.226	-3.676E-2
0.167	-0.231	6.455E-2	0.226	-4.187E-2
0.183	-0.230	6.940E-2	0.225	-4.803E-2
0.200	-0.229	7.631E-2	0.224	-5.344E-2
0.217	-0.228	8.046E-2	0.223	-6.341E-2
0.233	-0.226	8.233E-2	0.222	-6.257E-2
0.250	-0.225	8.922E-2	0.221	-6.194E-2
0.267	-0.223	9.375E-2	0.220	-6.974E-2
0.283	-0.222	9.281E-2	0.219	-7.472E-2
0.300	-0.220	0.100	0.217	-7.993E-2
0.317	-0.218	0.102	0.216	-8.316E-2
0.333	-0.217	0.104	0.215	-7.830E-2
0.350	-0.215	0.107	0.213	-8.004E-2
0.367	-0.213	0.109	0.212	-9.026E-2
0.383	-0.211	0.108	0.210	-8.965E-2
0.400	-0.210	0.109	0.209	-9.024E-2
0.417	-0.208	0.113	0.207	-9.139E-2
0.433	-0.206	0.112	0.206	-9.386E-2
0.450	-0.204	0.112	0.204	-9.841E-2
0.467	-0.202	0.111	0.203	-9.878E-2
0.483	-0.200	0.116	0.201	-9.969E-2
0.500	-0.198	0.116	0.199	-0.100
0.517	-0.196	0.113	0.198	-0.100
0.533	-0.194	0.118	0.196	-9.923E-2
0.550	-0.192	0.118	0.194	-9.700E-2
0.567	-0.191	0.114	0.193	-9.271E-2
0.583	-0.189	0.111	0.191	-9.544E-2
0.600	-0.187	0.112	0.190	-9.903E-2
0.617	-0.185	0.111	0.188	-9.135E-2
0.633	-0.183	0.103	0.187	-9.380E-2
0.650	-0.182	9.970E-2	0.185	-9.228E-2
0.667	-0.180	0.101	0.183	-8.674E-2
0.683	-0.178	9.576E-2	0.182	-8.770E-2
0.700	-0.177	9.308E-2	0.181	-8.287E-2
0.717	-0.175	9.081E-2	0.179	-7.856E-2
0.733	-0.174	8.435E-2	0.178	-7.481E-2
0.750	-0.172	7.910E-2	0.177	-7.227E-2
0.767	-0.171	7.780E-2	0.176	-7.203E-2
0.783	-0.170	7.262E-2	0.174	-6.930E-2
0.800	-0.169	6.766E-2	0.173	-6.368E-2
0.817	-0.167	6.475E-2	0.172	-6.054E-2
0.833	-0.166	5.902E-2	0.171	-5.621E-2
0.850	-0.165	5.222E-2	0.170	-5.387E-2
0.867	-0.165	5.267E-2	0.169	-5.073E-2
0.883	-0.164	4.980E-2	0.169	-4.436E-2
0.900	-0.163	3.880E-2	0.168	-4.145E-2
0.917	-0.162	3.219E-2	0.167	-3.948E-2
0.933	-0.162	2.879E-2	0.167	-3.400E-2
0.950	-0.161	2.438E-2	0.166	-2.597E-2
0.967	-0.161	1.653E-2	0.166	-1.835E-2
0.983	-0.161	1.222E-2	0.165	-1.550E-2
1.000	-0.161	4.850E-3	0.165	-1.504E-2
1.017	-0.161	-1.255E-3	0.165	-9.105E-3
1.033	-0.161	-3.500E-4	0.165	-2.279E-3
1.050	-0.161	-9.810E-3	0.165	5.299E-3
1.067	-0.161	-2.055E-2	0.165	8.911E-3
1.083	-0.161	-2.054E-2	0.165	1.004E-2
1.100	-0.162	-2.860E-2	0.165	1.560E-2
1.117	-0.162	-3.842E-2	0.166	1.784E-2
1.133	-0.163	-4.142E-2	0.166	2.282E-2
1.150	-0.164	-4.464E-2	0.166	3.284E-2
1.167	-0.164	-4.852E-2	0.167	3.399E-2
1.183	-0.165	-5.426E-2	0.168	4.066E-2
1.200	-0.166	-5.918E-2	0.168	4.349E-2
1.217	-0.167	-6.620E-2	0.169	4.437E-2
1.233	-0.168	-7.033E-2	0.170	5.340E-2
1.250	-0.170	-7.510E-2	0.171	5.870E-2
1.267	-0.171	-8.200E-2	0.172	6.009E-2
1.283	-0.172	-8.353E-2	0.173	6.142E-2
1.300	-0.174	-8.682E-2	0.174	6.615E-2
1.317	-0.175	-9.131E-2	0.175	6.814E-2
1.333	-0.177	-9.749E-2	0.176	7.660E-2
1.350	-0.179	-9.718E-2	0.178	8.066E-2
1.367	-0.180	-9.748E-2	0.179	7.814E-2
1.383	-0.182	-0.101	0.180	8.180E-2
1.400	-0.183	-0.103	0.182	8.664E-2
1.417	-0.185	-0.112	0.183	8.797E-2
1.433	-0.187	-0.111	0.185	8.935E-2
1.450	-0.189	-0.113	0.186	9.118E-2
1.467	-0.191	-0.118	0.188	8.965E-2
1.483	-0.193	-0.113	0.189	9.665E-2
1.500	-0.195	-0.111	0.191	9.715E-2
1.517	-0.197	-0.116	0.192	9.136E-2
1.533	-0.199	-0.117	0.194	9.359E-2
1.550	-0.200	-0.115	0.195	9.665E-2
1.567	-0.202	-0.114	0.197	9.587E-2
1.583	-0.204	-0.117	0.199	9.154E-2
1.600	-0.206	-0.118	0.200	9.189E-2
1.617	-0.208	-0.117	0.202	9.534E-2
1.633	-0.210	-0.119	0.203	9.205E-2
